Country,Case,Date,Year,Month,Day
France,56989,4/1/2020,2020,4,1
France,59105,4/2/2020,2020,4,2
France,64338,4/3/2020,2020,4,3
France,68605,4/4/2020,2020,4,4
France,70478,4/5/2020,2020,4,5
France,74390,4/6/2020,2020,4,6
France,78167,4/7/2020,2020,4,7
France,82048,4/8/2020,2020,4,8
France,86334,4/9/2020,2020,4,9
France,90676,4/10/2020,2020,4,10
France,93790,4/11/2020,2020,4,11
France,120633,4/12/2020,2020,4,12
France,124298,4/13/2020,2020,4,13
France,129257,4/14/2020,2020,4,14
France,132473,4/15/2020,2020,4,15
France,144944,4/16/2020,2020,4,16
France,146923,4/17/2020,2020,4,17
France,146906,4/18/2020,2020,4,18
France,151808,4/19/2020,2020,4,19
France,154188,4/20/2020,2020,4,20
France,156921,4/21/2020,2020,4,21
France,154715,4/22/2020,2020,4,22
France,157026,4/23/2020,2020,4,23
France,158636,4/24/2020,2020,4,24
France,160292,4/25/2020,2020,4,25
France,160847,4/26/2020,2020,4,26
France,164589,4/27/2020,2020,4,27
France,167605,4/28/2020,2020,4,28
France,165093,4/29/2020,2020,4,29
France,165764,4/30/2020,2020,4,30
France,165764,5/1/2020,2020,5,1
Italy,110574,4/1/2020,2020,4,1
Italy,115242,4/2/2020,2020,4,2
Italy,119827,4/3/2020,2020,4,3
Italy,124632,4/4/2020,2020,4,4
Italy,128948,4/5/2020,2020,4,5
Italy,132547,4/6/2020,2020,4,6
Italy,135586,4/7/2020,2020,4,7
Italy,139422,4/8/2020,2020,4,8
Italy,143626,4/9/2020,2020,4,9
Italy,147577,4/10/2020,2020,4,10
Italy,152271,4/11/2020,2020,4,11
Italy,156363,4/12/2020,2020,4,12
Italy,159516,4/13/2020,2020,4,13
Italy,162488,4/14/2020,2020,4,14
Italy,165155,4/15/2020,2020,4,15
Italy,168941,4/16/2020,2020,4,16
Italy,172434,4/17/2020,2020,4,17
Italy,175925,4/18/2020,2020,4,18
Italy,178972,4/19/2020,2020,4,19
Italy,181228,4/20/2020,2020,4,20
Italy,183957,4/21/2020,2020,4,21
Italy,187327,4/22/2020,2020,4,22
Italy,189973,4/23/2020,2020,4,23
Italy,192994,4/24/2020,2020,4,24
Italy,195351,4/25/2020,2020,4,25
Italy,197675,4/26/2020,2020,4,26
Italy,199414,4/27/2020,2020,4,27
Italy,201505,4/28/2020,2020,4,28
Italy,203591,4/29/2020,2020,4,29
Italy,205463,4/30/2020,2020,4,30
Italy,207428,5/1/2020,2020,5,1
US,213242,4/1/2020,2020,4,1
US,243622,4/2/2020,2020,4,2
US,275367,4/3/2020,2020,4,3
US,308650,4/4/2020,2020,4,4
US,336802,4/5/2020,2020,4,5
US,366317,4/6/2020,2020,4,6
US,397121,4/7/2020,2020,4,7
US,428654,4/8/2020,2020,4,8
US,462780,4/9/2020,2020,4,9
US,496535,4/10/2020,2020,4,10
US,526396,4/11/2020,2020,4,11
US,555313,4/12/2020,2020,4,12
US,580619,4/13/2020,2020,4,13
US,607670,4/14/2020,2020,4,14
US,636350,4/15/2020,2020,4,15
US,667592,4/16/2020,2020,4,16
US,699706,4/17/2020,2020,4,17
US,732197,4/18/2020,2020,4,18
US,758809,4/19/2020,2020,4,19
US,784326,4/20/2020,2020,4,20
US,811865,4/21/2020,2020,4,21
US,840351,4/22/2020,2020,4,22
US,869170,4/23/2020,2020,4,23
US,905358,4/24/2020,2020,4,24
US,938154,4/25/2020,2020,4,25
US,965785,4/26/2020,2020,4,26
US,988197,4/27/2020,2020,4,27
US,1012582,4/28/2020,2020,4,28
US,1039909,4/29/2020,2020,4,29
US,1069424,4/30/2020,2020,4,30
US,1103461,5/1/2020,2020,5,1
Vietnam,218,4/1/2020,2020,4,1
Vietnam,233,4/2/2020,2020,4,2
Vietnam,237,4/3/2020,2020,4,3
Vietnam,240,4/4/2020,2020,4,4
Vietnam,241,4/5/2020,2020,4,5
Vietnam,245,4/6/2020,2020,4,6
Vietnam,249,4/7/2020,2020,4,7
Vietnam,251,4/8/2020,2020,4,8
Vietnam,255,4/9/2020,2020,4,9
Vietnam,257,4/10/2020,2020,4,10
Vietnam,258,4/11/2020,2020,4,11
Vietnam,262,4/12/2020,2020,4,12
Vietnam,265,4/13/2020,2020,4,13
Vietnam,266,4/14/2020,2020,4,14
Vietnam,267,4/15/2020,2020,4,15
Vietnam,268,4/16/2020,2020,4,16
Vietnam,268,4/17/2020,2020,4,17
Vietnam,268,4/18/2020,2020,4,18
Vietnam,268,4/19/2020,2020,4,19
Vietnam,268,4/20/2020,2020,4,20
Vietnam,268,4/21/2020,2020,4,21
Vietnam,268,4/22/2020,2020,4,22
Vietnam,268,4/23/2020,2020,4,23
Vietnam,270,4/24/2020,2020,4,24
Vietnam,270,4/25/2020,2020,4,25
Vietnam,270,4/26/2020,2020,4,26
Vietnam,270,4/27/2020,2020,4,27
Vietnam,270,4/28/2020,2020,4,28
Vietnam,270,4/29/2020,2020,4,29
Vietnam,270,4/30/2020,2020,4,30
Vietnam,270,5/1/2020,2020,5,1
