Province,Confirm,ma
Hà Nội,1597685,1
TP. Hồ Chí Minh,610867,79
Nghệ An,484250,40
Bắc Giang,387545,24
Vĩnh Phúc,367572,26
Hải Dương,362992,30
Quảng Ninh,346114,22
Bắc Ninh,343671,27
Bình Dương,320875,74
Phú Thọ,320008,25
Nam Định,295364,36
Thái Bình,292420,34
Hưng Yên,239839,33
Hoà Bình,235873,17
Thái Nguyên,185031,19
Lào Cai,182704,10
Đắk Lắk,170585,66
Thanh Hóa,167387,38
Lạng Sơn,156674,20
Sơn La,150297,14
Cà Mau,145881,96
Tuyên Quang,142294,8
Tây Ninh,137653,72
Bình Định,137028,52
Quảng Bình,123537,44
Hà Giang,121740,2
Hải Phòng,119740,31
Khánh Hòa,117761,56
Bình Phước,117262,70
Bà Rịa - Vũng Tàu,106840,77
Đồng Nai,106629,75
Vĩnh Long,101050,86
Ninh Bình,99226,37
Đà Nẵng,98225,48
Bến Tre,96597,83
Cao Bằng,95178,4
Lâm Đồng,91826,68
Điện Biên,88130,11
Hà Nam,84365,35
Quảng Trị,81548,45
Cần Thơ,76393,92
Trà Vinh,74647,84
Bắc Kạn,73934,6
Lai Châu,73731,12
Đắk Nông,72942,67
Gia Lai,69457,64
Bình Thuận,52466,60
Đồng Tháp,50585,87
Hà Tĩnh,50091,42
Quảng Nam,49217,49
Long An,48979,80
Quảng Ngãi,47483,51
Bạc Liêu,46432,95
Thừa Thiên Huế,46304,46
Phú Yên,42662,54
An Giang,41236,89
Kiên Giang,39789,91
Tiền Giang,36212,82
Sóc Trăng,34349,94
Kon Tum,26139,62
Hậu Giang,17076,93
Ninh Thuận,8639,58
Yên Bái,147369,15
